company_category_list,cluster
Ad Targeting|Advertising,19
Mobile Security|Security,26
Health Care|Medical|Physicians,18
Consulting|Technology,9
Software|VoIP,21
Consulting|Information Technology,28
Biotechnology|Health and Wellness|Pharmaceuticals,1
Environmental Innovation|Services,9
Information Technology|Internet|Software,36
Aerospace|Manufacturing,13
Consulting|Enterprises,5
Audio|Consumer Electronics,13
Advertising|Television,23
Education|Services,39
Customer Service|Market Research|Software,28
Media|Mobile,23
Mobile|Payments,12
Education|Software|Tutoring,39
Advertising|Sales and Marketing|Software,7
Advertising|Marketing Automation,19
Advertising|Sales and Marketing|Social Media,7
Construction|Software,24
Advertising|Social Media Advertising,41
Media|News|Software,23
Business Productivity,5
Computers|Risk Management|Software,28
Advertising|Publishing,19
Computers|Security|Software,16
Communications Hardware|Security|Technology,16
Curated Web|Storage,14
Computers|Network Security,26
Education|Social Network Media,41
Computers|Services|Software,16
Communications Hardware|Mobile|Wireless,15
Data Security|Enterprise Software,28
Media|Mobile|Video,8
Advertising|Startups,19
Advertising|Marketplaces|Social Media,41
Advertising|Social Media|Social Media Marketing,41
Education|Software|Systems,24
Financial Services|FinTech|Software,5
Broadcasting|Software,15
Media|Social Media,41
Education|Skill Assessment,39
Automotive|Public Transportation,48
Mobile|Mobile Payments|Payments,12
Mobile|Photo Sharing,8
Data Mining,28
Mobile Software Tools,21
Augmented Reality,30
Mobile Software Tools|Software,21
Electrical Distribution|Lighting|UV LEDs,37
Business Development|Software,24
Agriculture|Software,24
Finance|Wealth Management,38
Automotive|Cars|E-Commerce,13
Advertising|Media|Technology,19
Mobile|Mobile Commerce,15
Mobile|Mobile Commerce|Mobile Payments,33
Financial Services|Software,5
Automotive|Cars|Mobile,13
Electrical Distribution,48
Data Centers|Software,28
Fitness|Hardware + Software|Wearables,21
Finance|Technology,38
Mobile Payments|Software,12
Communities|Internet|Social Network Media,41
Fitness|Health and Wellness|Hospitals,18
Broadcasting|Digital Media,23
Embedded Hardware and Software,16
Communities|Social Media,41
Mobile Commerce|Mobile Payments,12
Mobile|SaaS,22
Customer Service|Customer Support Tools|Software,4
Mining Technologies,9
Aerospace|Transportation,48
Fitness|Health and Wellness|Services,17
Mobile Advertising,19
Advertising|Mobile Advertising,19
Automotive|Manufacturing,13
Fitness|Health and Wellness|Software,17
Mobile|Mobile Coupons,33
Fitness|Retail,45
Electric Vehicles,13
Advertising|Optimization,46
Mobile|Productivity Software|Sensors,16
Education|Training,39
Auctions|E-Commerce|Online Auctions,0
Curated Web|Web Browsers,14
Business Intelligence|Finance|Investment Management,38
Mobile|SaaS|Wireless,33
Computers|Internet|Software,21
Customer Service|Software,4
Mobile|Photo Sharing|Social Network Media,49
Advice,43
Mobile|Music,30
Automotive|Curated Web,14
Mobile|Search,33
Medical Devices|Software,16
Medical|Pharmaceuticals,1
Curated Web|Web Design|Web Development,14
Advertising|Monetization|Video,19
Medical|Services|Software,31
Financial Services|Services,5
Cyber Security|Data Security|Fraud Detection,26
Mobile|Publishing,19
Medical|Software,31
Concerts|Games|Music,30
Education|iPad,39
Advertising|News,23
Electronics|Semiconductor Manufacturing Equipment|Semiconductors,13
Financial Services|Real Estate,42
Flash Storage|Software|Storage,11
Curated Web|Web Development,14
Mobile Devices,33
Automotive|Clean Technology|Software,16
Medical|Senior Health,18
Cyber|Cyber Security|Security,26
Coupons|Curated Web,14
Business Productivity|Productivity Software|Software,24
E-Commerce|Internet Marketing,19
Displays|Hardware + Software,21
Health Care|Medical|Software,18
Health Care|Medical|Neuroscience,18
Health Care|Medical Devices|Therapeutics,1
Analytics|Video|Video Streaming,8
Analytics|Sports,46
Analytics|Social Media|Software,46
Analytics|Social Media,41
Health Care|Manufacturing,18
Cloud Computing|Enterprises|Mobile|Mobile Devices|Security,16
Apps|E-Commerce|Mobile|Mobile Commerce,33
Analytics|SaaS|Sales and Marketing|Software,24
Analytics|SaaS|Sales and Marketing|Sales Automation,7
Apps|Education,39
Analytics|Retail,46
Health Care|Mobile,31
Charity|Nonprofits,18
E-Commerce|Manufacturing,13
Android|Apps|Internet|Mobile,29
Industrial,32
Android|Apps|iPhone|Mobile,29
Doctors|Health Care|Medical,18
Industrial Automation|Robotics,13
Industrial|Manufacturing,13
Health Diagnostics|Medical|Medical Devices,1
Health Diagnostics,1
E-Commerce|Logistics|Shipping,48
Information Security,26
E-Commerce|Jewelry,25
E-Commerce|Lifestyle|Online Shopping|Retail,6
Health Care|SaaS,18
E-Commerce|Lifestyle|Subscription Businesses,6
Health Care|Pharmaceuticals,18
Health Care|Information Technology|Software,31
Analytics|Public Relations,41
Analytics|Predictive Analytics,46
Hardware|Nanotechnology|Semiconductors,13
Internet of Things|M2M|Software,47
Internet of Things|M2M|Software|Wireless,36
Internet of Things|Mobile,47
Apps|Health and Wellness|Health Care,18
Internet of Things|Security,47
E-Commerce|Photography,14
Internet of Things|Software,47
Analytics|Health and Wellness|Health Care,18
Analytics|Finance|Stock Exchanges,38
Internet of Things|Wearables,47
Internet|Internet Service Providers|Wireless,4
Digital Media|E-Commerce,8
Hardware|Health and Wellness,17
Apps|Internet|Software,2
Analytics|Health Diagnostics,1
Health Care Information Technology|Healthcare Services|Medical Devices,31
Digital Media|News|Social Media,23
Health Care|Health Diagnostics|Medical,18
E-Commerce|Mobile|Mobile Commerce,15
E-Commerce|Mobile|Mobile Commerce|Shopping,6
Analytics|Mobile,46
Apps|Entertainment|Games,40
E-Commerce|Music,30
Health Care|Health Diagnostics|Medical Devices,18
Intellectual Asset Management,5
Cloud Computing|Software|Virtualization,11
Analytics|Market Research,46
Apps|Events,40
Cars,45
Internet Marketing|Search|SEO,36
Apps|Games|Mobile|Software,29
Career Management|Software,24
Health Services Industry,31
Incubators,27
Digital Entertainment|Entertainment|Entertainment Industry,23
Chat|Messaging|Mobile,2
App Marketing|Apps|App Stores,29
Health and Wellness|Medical|Therapeutics,18
Angels|Venture Capital,42
Hospitality|Hotels,20
Health and Wellness|Medical|Pharmaceuticals,18
Clean Technology|Renewable Energies|Solar,37
Clean Technology|Smart Grid,16
Clean Technology|Sustainability,9
E-Commerce|Furniture,25
Health and Wellness|Medical Devices|Therapeutics,1
Clean Technology|Water,37
Clinical Trials,1
Clinical Trials|Health Care|Medical,18
E-Commerce|Games,40
E-Commerce|Enterprise Software|Software,21
E-Commerce|Finance|Marketplaces,0
Home Automation|Software,16
Home Automation|Services,4
Health and Wellness|Technology,17
Application Platforms,36
E-Commerce|Fashion|Online Shopping|Retail,6
E-Commerce|Fashion|Shoes,25
E-Commerce|Fashion|Social Commerce,41
E-Commerce|Fashion|Manufacturing|Retail,45
E-Commerce|Fashion|Social Commerce|Social Media,41
E-Commerce|Fashion|Lingerie,25
Home Automation|Security,26
Home & Garden|Manufacturing,10
Health and Wellness|SaaS,17
App Marketing|Messaging|Mobile|SMS,2
Home Automation|Internet of Things,47
Clean Technology|Green|Renewable Energies|Solar,37
Health and Wellness|Personal Health,18
E-Commerce|Gift Card,6
Hospitality|Organic Food,34
Clean Energy|Clean Technology|Solar,37
E-Commerce|Health and Wellness|Nutrition,17
Human Resources|Recruiting|Software|Staffing Firms,3
Human Resources|Recruiting|Technology,3
E-Books,0
Drones|Security,26
Humanitarian|Location Based Services|Mobile|Wireless,4
Humanitarian|Nonprofits,3
Health and Wellness|Health Care|Health Services Industry,18
E-Commerce|Health Care,18
IT Management|Software,47
Health and Wellness|Health Care|Health Care Information Technology|Medical,18
E-Commerce|Hospitality,0
Health and Wellness|Health Care Information Technology|Healthcare Services,31
Health and Wellness|Health Care Information Technology,31
E-Commerce|Hospitality|Restaurants,20
Human Resources|Recruiting|Social Media|Software,3
Apps|Big Data|Mobile,33
Clean Energy|Clean Technology|Residential Solar|Solar,37
Hospitality|Travel,20
Health and Wellness|Healthcare Services|Medical Devices,18
Hospitality|Services,4
Health and Wellness|Healthcare Services|Medical,18
Clean Energy|Clean Technology|Lighting,37
Clean Energy|Clean Technology|Green|Renewable Energies|Solar,37
Clean Energy|Clean Technology|Green,37
Health and Wellness|Health Care|Therapeutics,18
E-Commerce Platforms,0
Health and Wellness|Health Care|Software,18
Health and Wellness|Health Care|Social Network Media,17
Hotels|Mobile|Travel,20
Hotels|Real Estate,42
Hotels|Software,6
Cloud Computing|Cloud Management|Enterprise Software,11
Cloud Data Services|Enterprise Software,28
Internet|Media|News,23
Commercial Real Estate|Real Estate|Technology,42
Business Services|Information Technology|Software,28
Games|Sales and Marketing|Video,40
Delivery|Services,48
Collaborative Consumption|Peer-to-Peer,9
Games|Peer-to-Peer|Television,40
Analytics|Big Data|Consulting|Software,46
Analytics|Big Data|Consulting,46
Delivery|Health Care|Medical,18
Education|Internet,39
College Recruiting|Recruiting,39
Delivery|E-Commerce|Hospitality|Restaurants,20
Delivery|E-Commerce|Hospitality|Internet|Local|Location Based Services|Mobile|Restaurants,4
Manufacturing|Mobile|Technology,13
Analytics|Big Data|Business Intelligence|Consulting,28
Manufacturing|Motors,13
Education|Internet|Video,49
Analytics|Big Data|Databases,46
Analytics|Big Data|Databases|Software,46
Business Services|Finance|Financial Services,5
Games|Software|Web Development,36
Collaboration|Software|Video Conferencing,8
Games|Video|Video Games,40
Business Services|Health and Wellness,17
Games|Video Streaming,8
Games|Technology,40
Games|Sports,40
Artificial Intelligence|Robotics,1
Business Services|Finance|Investment Management,5
Designers,25
Games|Software,40
Dental|Internet|Reviews and Recommendations,43
Business Services|Financial Services,5
Games|Social Media,41
Business Services|Finance|Small and Medium Businesses,10
Business Services|Customer Service|Services,4
Manufacturing|Outdoors|Sporting Goods,45
Education|K-12 Education,39
Assisted Living|Elder Care|Health and Wellness,18
Marketing Automation|Social Media|Social Media Marketing|Software,41
Marketing Automation|Software,21
Marketplaces|Mobile,33
Business Services|Consulting,5
Education|Music,39
Education|Online Education|Services,39
Data Visualization|Software,21
Art|E-Commerce|Marketplaces,0
Assisted Living|Medical,18
Auctions|Curated Web|E-Commerce,14
Marketplaces|Social Network Media,49
Commercial Real Estate|Office Space|Real Estate,42
Auctions|E-Commerce,0
Marketplaces|Video,8
Colleges|Education|Universities,39
Market Research|Services,5
Colleges|E-Commerce|Textbooks,39
Manufacturing|Technology,13
Colleges|EdTech|Education,39
Education|K-12 Education|Online Education,39
Manufacturing|Semiconductors|Telecommunications,13
Colleges|EdTech|Education|K-12 Education,39
Databases|Software,21
Games|Location Based Services|Mobile|Social Games,40
Education|Kids,39
Analytics|Big Data Analytics,46
Business Services|Curated Web,14
Games|Kids|Virtual Worlds,40
Colleges|Education,39
Art|Design,44
Analytics|Big Data Analytics|Data Visualization,46
